0,0
1,647
2,647
3,647
4,647
5,647
6,647
7,647
8,647
9,647
10,941
11,941
12,941
13,942
2,942
14,942
15,942
3,942
4,942
5,942
6,942
7,942
8,942
9,942
0,397
16,1644
17,468
18,468
19,451
20,451
21,451
22,451
23,4233
17,469
18,469
24,648
19,25
20,25
22,25
25,25
26,25
27,25
28,25
29,25
30,1713
16,1713
19,452
20,452
21,452
22,452
24,649
31,1916
17,470
18,470
32,2231
33,2635
34,2635
35,2635
36,2635
17,471
18,471
37,2641
38,306
39,306
40,306
41,306
42,306
43,306
44,306
45,306
46,306
47,944
48,654
2,654
8,654
9,654
49,654
50,654
51,654
52,654
19,453
20,453
21,453
22,453
53,1648
54,1648
55,1648
56,1648
19,436
20,436
21,436
22,436
26,436
39,436
57,436
58,436
59,436
42,436
30,4234
60,4234
61,472
62,472
17,473
18,473
63,1917
64,1917
65,1917
66,307
67,307
68,307
69,307
70,4235
71,2267
72,2267
73,2267
74,2267
75,2267
76,2751
77,2751
78,2751
10,474
11,474
12,474
79,2996
80,2996
81,2996
82,655
30,4236
83,4237
53,1649
54,1649
53,1650
54,1650
84,171
85,171
86,171
87,171
30,4238
16,4238
13,656
88,2190
89,2190
90,237
2,237
91,237
92,237
3,237
4,237
5,237
6,237
7,237
8,237
9,237
93,437
94,437
0,437
20,437
67,437
95,437
96,437
97,437
98,437
99,437
28,437
100,437
101,475
2,475
3,475
4,475
5,475
6,475
7,475
8,475
9,475
102,2679
17,3266
18,3266
103,2232
92,238
13,658
60,2988
63,2652
64,2652
65,2652
17,476
18,476
17,477
18,477
104,3267
53,1651
54,1651
105,1651
25,1651
55,1651
106,1651
107,1651
56,1651
108,1651
109,1651
110,1651
111,1651
112,659
1,659
2,659
3,659
4,659
5,659
6,659
7,659
8,659
9,659
10,660
11,660
2,660
3,660
4,660
5,660
6,660
7,660
8,660
9,660
113,661
2,661
3,661
4,661
5,661
6,661
7,661
8,661
9,661
114,661
115,661
2,479
3,479
4,479
5,479
6,479
7,479
8,479
9,479
2,170
4,170
5,170
6,170
7,170
8,170
9,170
88,2233
116,3230
117,3230
19,441
118,441
119,480
2,480
4,480
5,480
6,480
7,480
8,480
9,480
120,663
121,1615
122,1615
123,1615
124,1615
125,946
2,946
4,946
5,946
6,946
7,946
8,946
9,946
63,2653
60,4239
126,664
2,664
4,664
5,664
6,664
7,664
8,664
9,664
30,4240
60,4240
126,665
127,665
92,665
9,665
128,665
129,665
130,665
102,3478
32,3478
93,308
0,308
66,308
67,308
131,4241
132,4241
133,4241
134,1774
135,1774
136,1774
17,481
18,481
16,4242
137,1775
138,1775
139,666
2,666
140,666
4,666
5,666
6,666
7,666
8,666
9,666
2,667
4,667
5,667
6,667
7,667
8,667
9,667
10,668
11,668
2,668
4,668
5,668
6,668
7,668
8,668
9,668
141,669
142,670
143,4243
144,4243
145,4243
146,4243
147,4243
148,4243
149,4243
150,4243
151,4243
152,4243
153,4243
154,4243
155,4243
156,4243
157,4243
158,4243
159,4243
160,4243
161,4243
162,4243
163,4243
164,4243
165,4243
166,4243
167,4243
168,4243
169,4243
170,4243
171,4243
172,4243
173,4243
174,4243
175,4243
176,4243
177,4243
178,4243
179,4243
180,4243
181,4243
182,4243
183,4243
184,4243
185,4243
186,4243
187,4243
188,4243
189,1918
190,1918
191,1918
192,1918
193,1918
194,3491
195,3491
151,3491
153,3491
196,3491
189,3491
171,3491
197,3491
198,3491
193,3491
