D-00002,P10275
D-00007,O75762
D-00007,P00352
D-00019,Q96KQ7
D-00023,P06239
D-00023,P06241
D-00027,P03372
D-00054,P36544
D-00064,P10636
D-00065,P07550
D-00072,P00352
D-00073,P08684
D-00074,O75762
D-00075,P29474
D-00075,P29475
D-00075,P35228
D-00099,O15379
D-00113,P22748
D-00117,P15121
D-00123,P11926
D-00124,P32929
D-00124,P35520
D-00124,Q96KQ7
D-00127,P22303
D-00132,O43570
D-00132,P00918
D-00132,P07451
D-00132,P22748
D-00132,Q16790
D-00133,P29474
D-00133,P29475
D-00133,P35228
D-00134,P10635
D-00138,P07711
D-00138,P43235
D-00141,P29474
D-00141,P29475
D-00141,P35228
D-00142,P29474
D-00142,P29475
D-00142,P35228
D-00143,P29474
D-00143,P29475
D-00143,P35228
D-00144,P29474
D-00144,P29475
D-00144,P35228
D-00150,O75762
D-00150,P14174
D-00150,Q8NER1
D-00159,P29474
D-00159,P29475
D-00159,P35228
D-00171,O75164
D-00171,Q96KQ7
D-00177,P15144
D-00185,Q16665
D-00193,P29474
D-00193,P29475
D-00193,P35228
D-00195,O43570
D-00195,P07451
D-00195,P22748
D-00195,P23280
D-00195,P35218
D-00195,P43166
D-00195,Q16790
D-00195,Q9ULX7
D-00195,Q9Y2D0
D-00203,A8MPY1
D-00203,P14867
D-00203,P24046
D-00203,P30531
D-00203,P31644
D-00203,P34903
D-00203,P47869
D-00203,P48066
D-00203,Q16445
D-00203,Q96KQ7
D-00203,Q9UBS5
D-00206,P27695
D-00206,P46063
D-00206,Q9UBT6
D-00208,P22748
D-00213,P43681
D-00214,P10635
D-00214,P29474
D-00214,P29475
D-00214,P35228
D-00219,P00352
D-00219,P11509
D-00225,P06276
D-00225,P22303
D-00225,P27695
D-00225,P29466
D-00227,P05177
D-00227,P22303
D-00228,P22303
D-00230,P29474
D-00230,P29475
D-00230,P35228
D-00232,P07451
D-00232,P10275
D-00232,P84022
D-00232,Q99714
D-00232,Q9UNA4
D-00238,O43570
D-00238,P00918
D-00238,P07451
D-00238,P15428
D-00238,P19838
D-00238,Q16236
D-00238,Q16665
D-00238,Q96KQ7
D-00238,Q99714
D-00239,O43570
D-00239,P00918
D-00239,P08684
D-00239,P35218
D-00239,Q9Y2D0
D-00240,O43570
D-00240,P00918
D-00240,P03372
D-00240,P39748
D-00240,P51449
D-00240,Q96KQ7
D-00240,Q99714
D-00240,Q9Y2D0
D-00243,P29474
D-00243,P35228
D-00244,P29474
D-00244,P35228
D-00253,P02545
D-00253,P25021
D-00253,P35367
